"Product variant code / SKU (required)","Product variant name","Product supplier item code","Product internal barcode","Product registered barcode","Ingredient variant code / SKU (required)","Ingredient variant name","Ingredient supplier item code","Ingredient internal barcode","Ingredient registered barcode","Notes","Quantity (required)","Unit of measure","Stock cost on 2022-05-12"
"FL032","Flippen Lekka Spice / Curry Mix / 500g","","10883","600969362871","FL-BLEND-CM","Blended Spice / Curry Mix","","11118","","",0.495,"kg","51.90138666669985557"
"FL033","Flippen Lekka Spice / Curry Mix / 1kg","","10888","600969362872","FL-BLEND-CM","Blended Spice / Curry Mix","","11118","","",0.975,"kg","51.90138666669985557"
"FL032","Flippen Lekka Spice / Curry Mix / 500g","","10883","600969362871","FL-LVB-CM-500","Flippen Lekka - Labelled Vacuum Bag / Curry Mix / 500g","","10937","","",1,"pcs","0.7011322222"
"FL033","Flippen Lekka Spice / Curry Mix / 1kg","","10888","600969362872","FL-LVB-CM-1K","Flippen Lekka - Labelled Vacuum Bag / Curry Mix / 1kg","","10936","","",1,"pcs","0.6882222222"
"FL007","Flippen Lekka Spice / Hot & Spicy / 100ml","","10879","600969362998","FL-BLEND-HOT","Blended Spice / Hot & Spicy","","10964","","",0.086,"kg","43.4739623333"
"FL008","Flippen Lekka Spice / Hot & Spicy / 200ml","","10891","600969362999","FL-BLEND-HOT","Blended Spice / Hot & Spicy","","10964","","",0.155,"kg","43.4739623333"
"FL007","Flippen Lekka Spice / Hot & Spicy / 100ml","","10879","600969362998","LB-H-100","Labelled Bottle / Hot & Spicy / 100ml","","11084","","",1,"pcs","2.4162177778"
"FL008","Flippen Lekka Spice / Hot & Spicy / 200ml","","10891","600969362999","LB-H-200","Labelled Bottle / Hot & Spicy / 200ml","","11085","","",1,"pcs","2.4162177778"
"FL005","Flippen Lekka Spice / Original Multi Purpose / 750g","","11042","","LT-MP-750","Labelled Tub / Original Multi Purpose / 750g","","11097","","",1,"pcs","0.2768888889"
"FL005","Flippen Lekka Spice / Original Multi Purpose / 750g","","11042","","FL-BLEND-MP","Blended Spice / Original Multi Purpose","","10921","","",0.75,"kg",-1.43e-12
"FL016","Flippen Lekka Spice / Worcester Sauce Spice / 1kg","","10881","600969362995","FL-WS-GR","FL Spice / Worcester Sauce","SP0120","10860","606110878265","",1,"kg","48.99000000000"
"FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","FL-WS-GR","FL Spice / Worcester Sauce","SP0120","10860","606110878265","",0.172,"kg","48.99000000000"
"FL013","Flippen Lekka Spice / Worcester Sauce Spice / 100ml","","10878","600969362991","FL-WS-GR","FL Spice / Worcester Sauce","SP0120","10860","606110878265","",0.12,"kg","48.99000000000"
"FL015","Flippen Lekka Spice / Worcester Sauce Spice / 500g","","10884","600969362993","FL-WS-GR","FL Spice / Worcester Sauce","SP0120","10860","606110878265","",0.5,"kg","48.99000000000"
"FL017","Flippen Lekka Spice / Worcester Sauce Spice / 750g","","11123","","FL-WS-GR","FL Spice / Worcester Sauce","SP0120","10860","606110878265","",0.75,"kg","48.99000000000"
"FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","LB-WS-200","Labelled Bottle / Worcester Sauce Spice / 200ml","","11088","","",1,"pcs","2.4162177778"
"FL013","Flippen Lekka Spice / Worcester Sauce Spice / 100ml","","10878","600969362991","LB-WS-100","Labelled Bottle / Worcester Sauce Spice / 100ml","","11087","","",1,"pcs","2.4162177778"
"FL017","Flippen Lekka Spice / Worcester Sauce Spice / 750g","","11123","","LT-WS-750","Labelled Tub / Worcester Sauce Spice / 750g","","11101","","",1,"pcs","0.2768888889"
