"Product variant code / SKU (required)","Product variant name","Product supplier item code","Product internal barcode","Product registered barcode","Ingredient variant code / SKU (required)","Ingredient variant name","Ingredient supplier item code","Ingredient internal barcode","Ingredient registered barcode","Notes","Quantity (required)","Unit of measure","Stock cost on 2022-05-12"
"TT011-12","12 Pack Talinti Popcorn Sprinkle / Sour Cream & Chives","","11208","6009693621060","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT01-12","12 Pack Talinti Popcorn Sprinkle / Butter","","11196","6009693621008","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"TT06-12","12 Pack Talinti Popcorn Sprinkle / Salt & Vinegar","","11207","6009693621053","TT006","Talinti Popcorn Sprinkle / Salt & Vinegar / 125ml","","10699","6009693620087","",12,"Units","6.167333333304837"
"TT011-12","12 Pack Talinti Popcorn Sprinkle / Sour Cream & Chives","","11208","6009693621060","TT011","Talinti Popcorn Sprinkle / Sour Cream & Chives / 125ml","","10696","6009693620063","",12,"Units","6.4813333333032139"
"TT016-12","12 Pack Talinti Popcorn Sprinkle / Chutney","","11212","6009693621039","TT016","Talinti Popcorn Sprinkle / Chutney / 125ml","","10711","6009693620070","",12,"Units","6.05833333330419526"
"TT021-12","12 Pack Talinti Popcorn Sprinkle / Parmesan","","11210","6009693621046","TT021","Talinti Popcorn Sprinkle / Parmesan / 125ml","","10708","6009693620056","",12,"Units","8.78031713109626725"
"TT026-12","12 Pack Talinti Popcorn Sprinkle / Cheese & Onion","","11211","6009693621015","TT026","Talinti Popcorn Sprinkle / Cheese & Onion / 125ml","","10705","6009693620049","",12,"Units",4.285714286e-11
"TT031-12","12 Pack Talinti Popcorn Sprinkle / Cheese","","11209","6009693621022","TT031","Talinti Popcorn Sprinkle / Cheese / 125ml","","10702","6009693620032","",12,"Units","6.5443333332987085"
"FL002-24","24 Pack Flippen Lekka Spice  / Original Multi Purpose / 200ml","","11222","6009693629127","FL002","Flippen Lekka Spice / Original Multi Purpose / 200ml","","10885","600969362997","",24,"pcs","3.260490000044215196"
"FL038-24","24 Pack Flippen Lekka Spice  / Savoury Herb Mix / 200ml","","11224","6009693629172","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL035-24","24 Pack Flippen Lekka Spice  / Chutney Sprinkle / 200ml","","11219","6009693629165","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL026-24","24 Pack Flippen Lekka Spice  / Red Wine & Garlic Sprinkle / 200ml","","11215","6009693629158","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL014-24","24 Pack Flippen Lekka Spice  / Worcester Sauce Spice / 200ml","","11217","6009693629141","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL008-24","24 Pack Flippen Lekka Spice  / Hot & Spicy / 200ml","","11213","6009693629134","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL002-24","24 Pack Flippen Lekka Spice  / Original Multi Purpose / 200ml","","11222","6009693629127","BX-24-200","24 x 200ml BOX","","11225","","",1,"Box","4.20000000000"
"FL038-24","24 Pack Flippen Lekka Spice  / Savoury Herb Mix / 200ml","","11224","6009693629172","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL035-24","24 Pack Flippen Lekka Spice  / Chutney Sprinkle / 200ml","","11219","6009693629165","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL026-24","24 Pack Flippen Lekka Spice  / Red Wine & Garlic Sprinkle / 200ml","","11215","6009693629158","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL014-24","24 Pack Flippen Lekka Spice  / Worcester Sauce Spice / 200ml","","11217","6009693629141","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL008-24","24 Pack Flippen Lekka Spice  / Hot & Spicy / 200ml","","11213","6009693629134","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL002-24","24 Pack Flippen Lekka Spice  / Original Multi Purpose / 200ml","","11222","6009693629127","THE-LAB-ST","Thermal Labels / Standard","","11116","","",1,"pcs","0.08000000000"
"FL014-24","24 Pack Flippen Lekka Spice  / Worcester Sauce Spice / 200ml","","11217","6009693629141","FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","",24,"pcs","11.686770000044443996"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","GBOX","Gift Pack - Empty","","11232","","",1,"Units","0.00000000000"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL002","Flippen Lekka Spice / Original Multi Purpose / 200ml","","10885","600969362997","",1,"pcs","3.260490000044215196"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL008","Flippen Lekka Spice / Hot & Spicy / 200ml","","10891","600969362999","",1,"pcs","9.998954161705943996"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL014","Flippen Lekka Spice / Worcester Sauce Spice / 200ml","","10895","6009693629929","",1,"pcs","11.686770000044443996"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL026","Flippen Lekka Spice / Red Wine & Garlic Sprinkle / 200ml","","10875","600969362896","",1,"pcs","11.691203333444444"
"GIFTP","Flippen Lekka Gift Pack","","11231","600969362880","FL035","Flippen Lekka Spice / Chutney Sprinkle / 200ml","","10894","600969362882","",1,"pcs","12.003003333444444"
